"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"04.01.2021 15:00 - 04.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1138","n/e","n/e"
"04.01.2021 16:00 - 04.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1184","n/e","n/e"
"04.01.2021 17:00 - 04.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1274","n/e","n/e"
"04.01.2021 18:00 - 04.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1368","n/e","n/e"
"04.01.2021 19:00 - 04.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1403","n/e","n/e"
"04.01.2021 20:00 - 04.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1380","n/e","n/e"
"04.01.2021 21:00 - 04.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1332","n/e","n/e"
"04.01.2021 22:00 - 04.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1296","n/e","n/e"
"04.01.2021 23:00 - 05.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1281","n/e","n/e"
"05.01.2021 00:00 - 05.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1329","n/e","n/e"
"05.01.2021 01:00 - 05.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1277","n/e","n/e"
"05.01.2021 02:00 - 05.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1235","n/e","n/e"
"05.01.2021 03:00 - 05.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1254","n/e","n/e"
"05.01.2021 04:00 - 05.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1294","n/e","n/e"
"05.01.2021 05:00 - 05.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1341","n/e","n/e"
"05.01.2021 06:00 - 05.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1356","n/e","n/e"
"05.01.2021 07:00 - 05.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1332","n/e","n/e"
