"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"26.05.2021 16:00 - 26.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","188","n/e","n/e"
"26.05.2021 17:00 - 26.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","224","n/e","n/e"
"26.05.2021 18:00 - 26.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","248","n/e","n/e"
"26.05.2021 19:00 - 26.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","254","n/e","n/e"
"26.05.2021 20:00 - 26.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","259","n/e","n/e"
"26.05.2021 21:00 - 26.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","269","n/e","n/e"
"26.05.2021 22:00 - 26.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","296","n/e","n/e"
"26.05.2021 23:00 - 27.05.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","271","n/e","n/e"
"27.05.2021 00:00 - 27.05.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","286","n/e","n/e"
"27.05.2021 01:00 - 27.05.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","310","n/e","n/e"
"27.05.2021 02:00 - 27.05.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","367","n/e","n/e"
"27.05.2021 03:00 - 27.05.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","481","n/e","n/e"
"27.05.2021 04:00 - 27.05.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","603","n/e","n/e"
"27.05.2021 05:00 - 27.05.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","745","n/e","n/e"
"27.05.2021 06:00 - 27.05.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","915","n/e","n/e"
"27.05.2021 07:00 - 27.05.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","999","n/e","n/e"
"27.05.2021 08:00 - 27.05.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1092","n/e","n/e"
"27.05.2021 09:00 - 27.05.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1228","n/e","n/e"
"27.05.2021 10:00 - 27.05.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1312","n/e","n/e"
"27.05.2021 11:00 - 27.05.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1315","n/e","n/e"
"27.05.2021 12:00 - 27.05.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1284","n/e","n/e"
"27.05.2021 13:00 - 27.05.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1279","n/e","n/e"
"27.05.2021 14:00 - 27.05.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1316","n/e","n/e"
"27.05.2021 15:00 - 27.05.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1400","n/e","n/e"
"27.05.2021 16:00 - 27.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1459","n/e","n/e"
"27.05.2021 17:00 - 27.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1415","n/e","n/e"
"27.05.2021 18:00 - 27.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1302","n/e","n/e"
"27.05.2021 19:00 - 27.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1218","n/e","n/e"
"27.05.2021 20:00 - 27.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1207","n/e","n/e"
"27.05.2021 21:00 - 27.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1172","n/e","n/e"
"27.05.2021 22:00 - 27.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1125","n/e","n/e"
"27.05.2021 23:00 - 28.05.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","473","n/e","n/e"
"28.05.2021 00:00 - 28.05.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","395","n/e","n/e"
"28.05.2021 01:00 - 28.05.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","314","n/e","n/e"
"28.05.2021 02:00 - 28.05.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","282","n/e","n/e"
"28.05.2021 03:00 - 28.05.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","293","n/e","n/e"
"28.05.2021 04:00 - 28.05.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","285","n/e","n/e"
"28.05.2021 05:00 - 28.05.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","249","n/e","n/e"
"28.05.2021 06:00 - 28.05.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","196","n/e","n/e"
"28.05.2021 07:00 - 28.05.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","157","n/e","n/e"
"28.05.2021 08:00 - 28.05.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","137","n/e","n/e"
"28.05.2021 09:00 - 28.05.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","126","n/e","n/e"
"28.05.2021 10:00 - 28.05.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","129","n/e","n/e"
"28.05.2021 11:00 - 28.05.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","151","n/e","n/e"
"28.05.2021 12:00 - 28.05.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","208","n/e","n/e"
"28.05.2021 13:00 - 28.05.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","305","n/e","n/e"
"28.05.2021 14:00 - 28.05.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","419","n/e","n/e"
"28.05.2021 15:00 - 28.05.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","518","n/e","n/e"
"28.05.2021 16:00 - 28.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","585","n/e","n/e"
"28.05.2021 17:00 - 28.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","611","n/e","n/e"
"28.05.2021 18:00 - 28.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","618","n/e","n/e"
"28.05.2021 19:00 - 28.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","616","n/e","n/e"
"28.05.2021 20:00 - 28.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","597","n/e","n/e"
"28.05.2021 21:00 - 28.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","580","n/e","n/e"
"28.05.2021 22:00 - 28.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","561","n/e","n/e"
"28.05.2021 23:00 - 29.05.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","428","n/e","n/e"
"29.05.2021 00:00 - 29.05.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","366","n/e","n/e"
"29.05.2021 01:00 - 29.05.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","296","n/e","n/e"
"29.05.2021 02:00 - 29.05.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","253","n/e","n/e"
"29.05.2021 03:00 - 29.05.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","244","n/e","n/e"
"29.05.2021 04:00 - 29.05.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","214","n/e","n/e"
"29.05.2021 05:00 - 29.05.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","177","n/e","n/e"
"29.05.2021 06:00 - 29.05.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","180","n/e","n/e"
"29.05.2021 07:00 - 29.05.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","157","n/e","n/e"
"29.05.2021 08:00 - 29.05.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","114","n/e","n/e"
"29.05.2021 09:00 - 29.05.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","98","n/e","n/e"
"29.05.2021 10:00 - 29.05.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","100","n/e","n/e"
"29.05.2021 11:00 - 29.05.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","105","n/e","n/e"
"29.05.2021 12:00 - 29.05.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","104","n/e","n/e"
"29.05.2021 13:00 - 29.05.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","109","n/e","n/e"
"29.05.2021 14:00 - 29.05.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","120","n/e","n/e"
"29.05.2021 15:00 - 29.05.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","125","n/e","n/e"
"29.05.2021 16:00 - 29.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","132","n/e","n/e"
"29.05.2021 17:00 - 29.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","141","n/e","n/e"
"29.05.2021 18:00 - 29.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","149","n/e","n/e"
"29.05.2021 19:00 - 29.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","162","n/e","n/e"
"29.05.2021 20:00 - 29.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","184","n/e","n/e"
"29.05.2021 21:00 - 29.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","200","n/e","n/e"
"29.05.2021 22:00 - 29.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","212","n/e","n/e"
"29.05.2021 23:00 - 30.05.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","191","n/e","n/e"
"30.05.2021 00:00 - 30.05.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","191","n/e","n/e"
"30.05.2021 01:00 - 30.05.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","205","n/e","n/e"
"30.05.2021 02:00 - 30.05.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","238","n/e","n/e"
"30.05.2021 03:00 - 30.05.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","285","n/e","n/e"
"30.05.2021 04:00 - 30.05.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","353","n/e","n/e"
"30.05.2021 05:00 - 30.05.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","439","n/e","n/e"
"30.05.2021 06:00 - 30.05.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","520","n/e","n/e"
"30.05.2021 07:00 - 30.05.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","517","n/e","n/e"
"30.05.2021 08:00 - 30.05.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","466","n/e","n/e"
"30.05.2021 09:00 - 30.05.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","487","n/e","n/e"
"30.05.2021 10:00 - 30.05.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","578","n/e","n/e"
"30.05.2021 11:00 - 30.05.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","682","n/e","n/e"
"30.05.2021 12:00 - 30.05.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","803","n/e","n/e"
"30.05.2021 13:00 - 30.05.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","902","n/e","n/e"
"30.05.2021 14:00 - 30.05.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1010","n/e","n/e"
"30.05.2021 15:00 - 30.05.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1109","n/e","n/e"
"30.05.2021 16:00 - 30.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1176","n/e","n/e"
"30.05.2021 17:00 - 30.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1163","n/e","n/e"
"30.05.2021 18:00 - 30.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1059","n/e","n/e"
"30.05.2021 19:00 - 30.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","913","n/e","n/e"
"30.05.2021 20:00 - 30.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","804","n/e","n/e"
"30.05.2021 21:00 - 30.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","791","n/e","n/e"
"30.05.2021 22:00 - 30.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","837","n/e","n/e"
"30.05.2021 23:00 - 31.05.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","946","n/e","n/e"
"31.05.2021 00:00 - 31.05.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1003","n/e","n/e"
"31.05.2021 01:00 - 31.05.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1042","n/e","n/e"
"31.05.2021 02:00 - 31.05.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1122","n/e","n/e"
"31.05.2021 03:00 - 31.05.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1185","n/e","n/e"
"31.05.2021 04:00 - 31.05.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1260","n/e","n/e"
"31.05.2021 05:00 - 31.05.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1374","n/e","n/e"
"31.05.2021 06:00 - 31.05.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1445","n/e","n/e"
"31.05.2021 07:00 - 31.05.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1424","n/e","n/e"
"31.05.2021 08:00 - 31.05.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1346","n/e","n/e"
"31.05.2021 09:00 - 31.05.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1447","n/e","n/e"
"31.05.2021 10:00 - 31.05.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1630","n/e","n/e"
"31.05.2021 11:00 - 31.05.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1769","n/e","n/e"
"31.05.2021 12:00 - 31.05.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1818","n/e","n/e"
"31.05.2021 13:00 - 31.05.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1912","n/e","n/e"
"31.05.2021 14:00 - 31.05.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1995","n/e","n/e"
"31.05.2021 15:00 - 31.05.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1984","n/e","n/e"
"31.05.2021 16:00 - 31.05.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1949","n/e","n/e"
"31.05.2021 17:00 - 31.05.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1852","n/e","n/e"
"31.05.2021 18:00 - 31.05.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1661","n/e","n/e"
"31.05.2021 19:00 - 31.05.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1416","n/e","n/e"
"31.05.2021 20:00 - 31.05.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1224","n/e","n/e"
"31.05.2021 21:00 - 31.05.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1115","n/e","n/e"
"31.05.2021 22:00 - 31.05.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1052","n/e","n/e"
"31.05.2021 23:00 - 01.06.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","894","n/e","n/e"
"01.06.2021 00:00 - 01.06.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","859","n/e","n/e"
"01.06.2021 01:00 - 01.06.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","789","n/e","n/e"
"01.06.2021 02:00 - 01.06.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","666","n/e","n/e"
"01.06.2021 03:00 - 01.06.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","569","n/e","n/e"
"01.06.2021 04:00 - 01.06.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","457","n/e","n/e"
"01.06.2021 05:00 - 01.06.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","380","n/e","n/e"
"01.06.2021 06:00 - 01.06.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","349","n/e","n/e"
"01.06.2021 07:00 - 01.06.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","297","n/e","n/e"
"01.06.2021 08:00 - 01.06.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","234","n/e","n/e"
"01.06.2021 09:00 - 01.06.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","218","n/e","n/e"
"01.06.2021 10:00 - 01.06.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","239","n/e","n/e"
"01.06.2021 11:00 - 01.06.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","299","n/e","n/e"
"01.06.2021 12:00 - 01.06.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","370","n/e","n/e"
"01.06.2021 13:00 - 01.06.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","430","n/e","n/e"
"01.06.2021 14:00 - 01.06.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","511","n/e","n/e"
"01.06.2021 15:00 - 01.06.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","597","n/e","n/e"
"01.06.2021 16:00 - 01.06.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","701","n/e","n/e"
"01.06.2021 17:00 - 01.06.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","774","n/e","n/e"
"01.06.2021 18:00 - 01.06.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","792","n/e","n/e"
"01.06.2021 19:00 - 01.06.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","768","n/e","n/e"
"01.06.2021 20:00 - 01.06.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","731","n/e","n/e"
"01.06.2021 21:00 - 01.06.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","743","n/e","n/e"
"01.06.2021 22:00 - 01.06.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","813","n/e","n/e"
"01.06.2021 23:00 - 02.06.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","925","n/e","n/e"
"02.06.2021 00:00 - 02.06.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","860","n/e","n/e"
"02.06.2021 01:00 - 02.06.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","829","n/e","n/e"
"02.06.2021 02:00 - 02.06.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","810","n/e","n/e"
"02.06.2021 03:00 - 02.06.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","751","n/e","n/e"
"02.06.2021 04:00 - 02.06.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","709","n/e","n/e"
"02.06.2021 05:00 - 02.06.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","680","n/e","n/e"
"02.06.2021 06:00 - 02.06.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","644","n/e","n/e"
"02.06.2021 07:00 - 02.06.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","635","n/e","n/e"
"02.06.2021 08:00 - 02.06.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","663","n/e","n/e"
"02.06.2021 09:00 - 02.06.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","707","n/e","n/e"
"02.06.2021 10:00 - 02.06.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","759","n/e","n/e"
"02.06.2021 11:00 - 02.06.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","808","n/e","n/e"
"02.06.2021 12:00 - 02.06.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","872","n/e","n/e"
"02.06.2021 13:00 - 02.06.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","963","n/e","n/e"
"02.06.2021 14:00 - 02.06.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1054","n/e","n/e"
"02.06.2021 15:00 - 02.06.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1116","n/e","n/e"
"02.06.2021 16:00 - 02.06.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1140","n/e","n/e"
"02.06.2021 17:00 - 02.06.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1137","n/e","n/e"
"02.06.2021 18:00 - 02.06.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1136","n/e","n/e"
"02.06.2021 19:00 - 02.06.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1169","n/e","n/e"
"02.06.2021 20:00 - 02.06.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1225","n/e","n/e"
"02.06.2021 21:00 - 02.06.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1323","n/e","n/e"
"02.06.2021 22:00 - 02.06.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1430","n/e","n/e"
"02.06.2021 23:00 - 03.06.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1371","n/e","n/e"
"03.06.2021 00:00 - 03.06.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1515","n/e","n/e"
"03.06.2021 01:00 - 03.06.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1677","n/e","n/e"
"03.06.2021 02:00 - 03.06.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1786","n/e","n/e"
"03.06.2021 03:00 - 03.06.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1841","n/e","n/e"
"03.06.2021 04:00 - 03.06.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1886","n/e","n/e"
"03.06.2021 05:00 - 03.06.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1960","n/e","n/e"
"03.06.2021 06:00 - 03.06.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2087","n/e","n/e"
"03.06.2021 07:00 - 03.06.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2245","n/e","n/e"
"03.06.2021 08:00 - 03.06.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2401","n/e","n/e"
"03.06.2021 09:00 - 03.06.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2601","n/e","n/e"
"03.06.2021 10:00 - 03.06.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2789","n/e","n/e"
"03.06.2021 11:00 - 03.06.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2975","n/e","n/e"
"03.06.2021 12:00 - 03.06.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3110","n/e","n/e"
"03.06.2021 13:00 - 03.06.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","3185","n/e","n/e"
"03.06.2021 14:00 - 03.06.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3143","n/e","n/e"
"03.06.2021 15:00 - 03.06.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3042","n/e","n/e"
"03.06.2021 16:00 - 03.06.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2935","n/e","n/e"
"03.06.2021 17:00 - 03.06.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2798","n/e","n/e"
"03.06.2021 18:00 - 03.06.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2613","n/e","n/e"
"03.06.2021 19:00 - 03.06.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2401","n/e","n/e"
"03.06.2021 20:00 - 03.06.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2203","n/e","n/e"
"03.06.2021 21:00 - 03.06.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2098","n/e","n/e"
"03.06.2021 22:00 - 03.06.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2079","n/e","n/e"
"03.06.2021 23:00 - 04.06.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1882","n/e","n/e"
"04.06.2021 00:00 - 04.06.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1747","n/e","n/e"
"04.06.2021 01:00 - 04.06.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1619","n/e","n/e"
"04.06.2021 02:00 - 04.06.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1524","n/e","n/e"
"04.06.2021 03:00 - 04.06.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1472","n/e","n/e"
"04.06.2021 04:00 - 04.06.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1450","n/e","n/e"
"04.06.2021 05:00 - 04.06.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1469","n/e","n/e"
"04.06.2021 06:00 - 04.06.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1542","n/e","n/e"
"04.06.2021 07:00 - 04.06.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1603","n/e","n/e"
"04.06.2021 08:00 - 04.06.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1716","n/e","n/e"
"04.06.2021 09:00 - 04.06.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1940","n/e","n/e"
"04.06.2021 10:00 - 04.06.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2151","n/e","n/e"
"04.06.2021 11:00 - 04.06.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2296","n/e","n/e"
"04.06.2021 12:00 - 04.06.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2350","n/e","n/e"
"04.06.2021 13:00 - 04.06.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2355","n/e","n/e"
"04.06.2021 14:00 - 04.06.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2334","n/e","n/e"
"04.06.2021 15:00 - 04.06.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2290","n/e","n/e"
"04.06.2021 16:00 - 04.06.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2211","n/e","n/e"
"04.06.2021 17:00 - 04.06.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2086","n/e","n/e"
"04.06.2021 18:00 - 04.06.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1902","n/e","n/e"
"04.06.2021 19:00 - 04.06.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1687","n/e","n/e"
"04.06.2021 20:00 - 04.06.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1484","n/e","n/e"
"04.06.2021 21:00 - 04.06.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1312","n/e","n/e"
"04.06.2021 22:00 - 04.06.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1156","n/e","n/e"
"04.06.2021 23:00 - 05.06.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","908","n/e","n/e"
"05.06.2021 00:00 - 05.06.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","870","n/e","n/e"
"05.06.2021 01:00 - 05.06.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","833","n/e","n/e"
